Country,Year,Ministry Or Department,Additional Info,Pay  (UOM:INR(IndianRupees)),Dearness Allowance (UOM:INR(IndianRupees)),House Rent Allowance (UOM:INR(IndianRupees)),Compensatory City Allowance (Cca) (UOM:INR(IndianRupees)),Overtime Allowance (Ota) (UOM:INR(IndianRupees)),Others (UOM:INR(IndianRupees)),Travel Allowances (UOM:INR(IndianRupees)),Bonus (UOM:INR(IndianRupees)),Honorarium (UOM:INR(IndianRupees)),Encashment Of Earned Leave(El) (UOM:INR(IndianRupees)),Transport (UOM:INR(IndianRupees))
India,"Financial Year (Apr - Mar), 2000","EDUCATION ( ELEMENTARY , SECONDAY AND HIHGER SEC . )",,1499.49,593.75,178.27,30.27,30.31,94.41,113.51,37.45,4.05,29.55,31.65
India,"Financial Year (Apr - Mar), 2019",MINES,,519.8,76.81,99.14,,0,29.23,49.26,2,0.41,27.61,45.5
India,"Financial Year (Apr - Mar), 2006",COAL,,4.24,1.17,0.68,0.1,0.05,0.28,0.77,0.06,0,0.13,0.08
India,"Financial Year (Apr - Mar), 2013",POWER,,34.75,29.55,6.08,,0.03,3.81,3.7,0.22,0.14,3.58,5.46
India,"Financial Year (Apr - Mar), 2009",POWER,,60.62,12.48,7.04,,0.13,4.33,2.98,0.38,0.08,4.4,4.88
India,"Financial Year (Apr - Mar), 2017",POSTS,,9065.57,453.28,800.33,,9.45,418.94,108.88,545.32,4.86,508.98,452.59
India,"Financial Year (Apr - Mar), 2015",INFORMATION AND BROADCASTING,,90.83,106.27,14.74,,0.29,13.81,8.9,1.3,0.62,2.79,14.42
India,"Financial Year (Apr - Mar), 2015","CHEMICALS , PETROCHEMICALS AND PHARMACEUTICALS",,6.25,7.38,1.08,,0.02,0.72,2.36,0.05,0.08,0.83,0.71
India,"Financial Year (Apr - Mar), 2001","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,5704.25,2590.32,885.08,146.97,45.57,373.84,557.66,61.81,28.29,39.65,152.12
India,"Financial Year (Apr - Mar), 2017",SPACE,,1288.39,77.33,166.6,,0.9,705,66.97,0,1.04,42.25,65.77
India,"Financial Year (Apr - Mar), 2016",INFORMATION TECHNOLOGY,,530.02,138.06,29.11,,0.09,22.66,7.84,0.33,0.17,7.19,28.81
India,"Financial Year (Apr - Mar), 2000",NON - CONVENTIONAL ENERGY SOURCES,,517.77,206.44,48.46,7.2,12.22,37.95,15.44,1.43,0,0,6.16
India,"Financial Year (Apr - Mar), 2016",CIVIL AVIATION,,57.98,13.85,3.93,,0,3.86,6.11,0.4,0.18,1.94,4.98
India,"Financial Year (Apr - Mar), 2005",COMPANY AFFAIRS,,21.67,4.56,2.1,0.33,0.11,1.56,1.39,0.36,0,0,0.19
India,"Financial Year (Apr - Mar), 2000",UNION PUBLIC SERVICE COMMISSION,,1201.17,483.15,217.22,43.64,11.92,44.53,52.56,35.81,50.97,0,41.72
India,"Financial Year (Apr - Mar), 2014",PRESIDENT'S SECRETARIAT,,5.94,6.31,0.24,,0.08,1.15,0.02,0.08,0.08,0.15,1.06
India,"Financial Year (Apr - Mar), 2012",INFORMATION AND BROADCASTING,,92.37,64.79,13.7,,0.29,11.25,6.96,1.34,0.17,1.29,8.93
India,"Financial Year (Apr - Mar), 2019",SCIENTIFIC AND INDUSTRIAL RESEARCH,,6.79,1.02,0.81,,0,0.6,0.42,0.06,0.18,0.45,0.59
India,"Financial Year (Apr - Mar), 2021",TELECOMMUNICATIONS,,337.15,88.68,46.97,,0.27,23.29,13.33,0.84,0.91,8.31,21.96
India,"Financial Year (Apr - Mar), 2019",MINORITY AFFAIRS,,30.64,4.47,4.34,,0,5,10.93,0.07,0.07,0.1,2.81
India,"Financial Year (Apr - Mar), 2009",COMMERCE,,175.61,34.98,31.7,,0.31,13.99,19.7,2.42,0.13,3.49,14.68
India,"Financial Year (Apr - Mar), 2015",SCIENCE AND TECHNOLOGY,,122.02,141.54,21.36,,0.12,21.14,8.88,2.31,0.63,10.64,19.65
India,"Financial Year (Apr - Mar), 2018",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,3347.23,343.81,477.63,,0.11,211.55,210.58,18.81,3.67,114.03,213.58
India,"Financial Year (Apr - Mar), 2010",ECONOMIC AFFAIRS,,27.93,11.55,3.6,,0.2,3.72,5.27,0.25,0.55,1.13,3.4
India,"Financial Year (Apr - Mar), 2019",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,,80.34,12.05,9.64,,0,7.16,5.96,0.68,2.08,5.32,7.02
India,"Financial Year (Apr - Mar), 2007",UNION PUBLIC SERVICE COMMISSION,,19.53,7.82,3.47,0.56,0.12,1.42,1.21,0.34,1.2,0.93,0.6
India,"Financial Year (Apr - Mar), 2012",WATER RESOURCES,,189.17,126.93,31.03,,0.29,25.47,20,1.56,0.18,5.6,19.1
India,"Financial Year (Apr - Mar), 2001",WATER RESOURCES,,9705.1,4355.4,1248.75,211.12,31.94,590.84,989.55,241.91,17.74,87.29,249.37
India,"Financial Year (Apr - Mar), 2017",FINANCIAL SERVICES,,34.5,1.67,3.63,,0,2.27,0.72,0.25,0.05,0.32,2.26
India,"Financial Year (Apr - Mar), 2007",URBAN DEVELOPMENT,Including HUPA(**/@@).,277.59,96.6,24.35,5.25,2.21,10.51,6.12,2.4,1.47,2.15,7.02
India,"Financial Year (Apr - Mar), 2012",MINES,,222.89,158.05,53.68,,0.16,18.85,27.83,0.94,0.32,1.1,35.08
India,"Financial Year (Apr - Mar), 2002",HEAVY INDUSTRY,,183.69,92.93,17.52,2.5,4.26,12.47,11.65,4.26,2.09,0,2.65
India,"Financial Year (Apr - Mar), 2010",RURAL DEVELOPMENT,,10.08,4.23,1.76,,0.11,0.91,0.98,0.09,0.07,0.1,1.24
India,"Financial Year (Apr - Mar), 2018",STATISTICS AND PROGRAMME IMPLEMENTATION,,275.15,31.76,40.93,,0,15.92,18.88,0.72,0.2,3.31,17.97
India,"Financial Year (Apr - Mar), 2005",SHIPPING,,27.85,5.73,2.7,0.4,0.42,3.51,3.55,0.77,0.09,0.36,0.33
India,"Financial Year (Apr - Mar), 2020",CHEMICALS AND PETROCHEMICALS,,10.05,1.87,1.29,,0,0.86,0.32,0.06,0.09,0.58,0.72
India,"Financial Year (Apr - Mar), 2017",LAW AND JUSTICE,,138.41,7.41,14.74,,0.17,7.13,8.05,1.32,0.39,1.57,9.27
India,"Financial Year (Apr - Mar), 2003",PRESIDENT'S SECRETARIAT,,213.95,122.84,8.55,7.35,8.69,26.62,1.17,6.05,6.31,8.64,2.48
India,"Financial Year (Apr - Mar), 2014",STEEL,,5.85,6.14,0.94,,0.03,1.01,0.9,0.05,0.1,0.46,1.05
India,"Financial Year (Apr - Mar), 2017",PRESIDENT'S SECRETARIAT,,16.71,0.85,0.54,,0.03,0.99,0.04,0.14,0.14,0,1.31
India,"Financial Year (Apr - Mar), 2009",DEFENCE ( CIVIL ),,8293.19,1646.11,918.76,,383.43,551.45,218.61,118.97,11.49,131,562.89
India,"Financial Year (Apr - Mar), 2006",ATOMIC ENERGY,,457.3,120.84,39.69,6.85,15.55,54.88,36.02,9.36,0.33,15.61,2.58
India,"Financial Year (Apr - Mar), 2021",POSTS,,9389.13,2429.75,939.69,,6.78,556.25,118.55,265.93,3.31,178.86,656.83
India,"Financial Year (Apr - Mar), 2019",POSTS,,9165.27,1374.79,918.17,,6.72,538.45,153.8,262.26,3.2,390.64,641.57
India,"Financial Year (Apr - Mar), 2000",EXPENDITURE,,723.53,283.02,118.46,24.31,14.82,36.76,68.18,15.2,8.47,15.15,25.11
India,"Financial Year (Apr - Mar), 2001",ECONOMIC AFFAIRS,,10250.92,5004.72,1487.32,205.11,3776.47,781.7,282.17,2869.5,17.04,125.64,216.59
India,"Financial Year (Apr - Mar), 2007",ECONOMIC AFFAIRS,,16.9,6.68,2.8,0.42,0.35,1.7,4.39,0.24,0.23,0.57,0.46
India,"Financial Year (Apr - Mar), 2018",PARLIAMENTARY AFFAIRS,,8.13,0.69,1.49,,0.01,0.71,0.73,0.05,0.02,0.75,0.64
India,"Financial Year (Apr - Mar), 2006",AGRICULTURE AND COOPERATION,,58.9,17.1,8.17,1.28,0.43,3.96,5.16,0.99,0.29,1.72,1.11
India,"Financial Year (Apr - Mar), 2005",AGRICULTURAL RESEARCH AND EDUCATION,,0.63,0.13,0.06,0.01,0.02,0.04,0.02,0.01,0,0,0.01
India,"Financial Year (Apr - Mar), 2010",LAW AND JUSTICE,,48.69,19.49,7.92,,0.25,4.42,3.88,0.51,0.58,0.74,5.38
India,"Financial Year (Apr - Mar), 2003",ECONOMIC AFFAIRS,,11506.14,6679.9,1451.07,205.88,3749.58,1230.89,417.74,3609.69,43.82,192.59,215.55
India,"Financial Year (Apr - Mar), 2013",ATOMIC ENERGY,,923.6,768.91,94.4,,33.01,438.53,46.84,0,0.43,48.08,96.19
India,"Financial Year (Apr - Mar), 2008",SOCIAL JUSTICE AND EMPOWERMENT,,14.53,3.05,2.18,0.11,0.11,0.71,1.89,0.13,0.09,0.6,0.86
India,"Financial Year (Apr - Mar), 2008",CHEMICALS AND PETROCHEMICALS,,7.46,1.46,0.93,0.05,0.1,0.67,1.27,0.04,0.1,0.08,0.25
India,"Financial Year (Apr - Mar), 2015",STATISTICS AND PROGRAMME IMPLEMENTATION,,105.6,130.22,19.4,,0.01,8.29,5.65,0.71,0.05,3.94,13.23
India,"Financial Year (Apr - Mar), 2002",SPACE,,15288.5,7573.42,1518.63,241.15,178.27,1869.12,1602.57,210.44,9.21,567.87,141.19
India,"Financial Year (Apr - Mar), 2016",SPACE,,1301.97,338.51,85.97,,0.79,567.13,52,0,0.71,40.68,58.66
India,"Financial Year (Apr - Mar), 2018",CORPORATE AFFAIRS,,99.14,9.2,16.72,,0,7.32,5.97,0.47,0.15,2.29,7.65
India,"Financial Year (Apr - Mar), 2013",FOOD PROCESSING INDUSTRIES,,4.33,3.81,0.65,,0.03,0.36,1.9,0.02,0.02,0.51,0.63
India,"Financial Year (Apr - Mar), 2006",UNION PUBLIC SERVICE COMMISSION,,19.27,5.36,3.44,0.56,0.12,1.68,1.44,0.34,0.76,0.7,0.48
India,"Financial Year (Apr - Mar), 2021",EARTH SCIENCES,,270.61,70.36,37.88,,0.53,14.57,3.96,0.08,0.13,19.98,19.08
India,"Financial Year (Apr - Mar), 2015",TRIBAL AFFAIRS,,5.07,5.88,0.89,,0.03,1.06,0.7,0.04,0.05,0.06,0.8
India,"Financial Year (Apr - Mar), 2006",FOOD PROCESSING INDUSTRIES,,2.77,0.77,0.4,0.06,0.05,0.19,0.58,0.03,0.02,0.25,0.07
India,"Financial Year (Apr - Mar), 2019",PETROLEUM AND NATURAL GAS,,18.52,2.93,2.34,,0,1.07,1.57,0.09,0.03,0.92,1.48
India,"Financial Year (Apr - Mar), 2006",PRIME MINISTER'S OFFICE,,5.3,1.46,0.69,0.15,0.29,0.51,1.2,0.1,0,0.12,0.12
India,"Financial Year (Apr - Mar), 2009",WATER RESOURCES,,227.41,46.85,28.44,,0.23,15.02,15.52,2.58,0.27,7.87,14.51
India,"Financial Year (Apr - Mar), 2000",FERTILIZERS,,226.82,90.58,23.21,3.62,5.28,16.3,7.54,0.44,1.49,1.53,3.22
India,"Financial Year (Apr - Mar), 2019",ELECTRONICS AND INFORMATION TECHNOLOGY,,590.42,82.47,94.21,,0.27,30.87,14.33,0.55,0.55,25.67,46.42
India,"Financial Year (Apr - Mar), 2015",HEAVY INDUSTRY,,5.3,6.25,0.81,,0.01,0.3,1.29,0.04,0.02,0.52,1.04
India,"Financial Year (Apr - Mar), 2013",AGRICULTURAL RESEARCH AND EDUCATION,,1.52,1.35,0.24,,0,0.19,0.49,0.01,0.01,0.09,0.12
India,"Financial Year (Apr - Mar), 2017",CIVIL AVIATION,,70.8,3.4,7.94,,0.01,3.88,8.27,0.4,0.15,1.62,5.01
India,"Financial Year (Apr - Mar), 2007",INFORMATION TECHNOLOGY,,100.59,36.17,12.99,1.36,0.25,2.95,3.29,0.36,0.26,1.15,2.57
India,"Financial Year (Apr - Mar), 2014",TELECOMMUNICATIONS,,101.47,102.1,16.13,,0.19,17.78,10.24,0.44,0.43,9.92,13.24
India,"Financial Year (Apr - Mar), 2014",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,1091.72,1162.34,199.96,,0.44,130.82,130.33,9.76,3.05,71.66,144.11
India,"Financial Year (Apr - Mar), 2019",ECONOMIC AFFAIRS,,72.5,9.87,9.22,,0,3.76,8.15,0.15,0.1,3.81,6.06
India,"Financial Year (Apr - Mar), 2016",ECONOMIC AFFAIRS,,61.97,16.39,4.5,,0.03,3.64,15.76,0.39,0.55,2.43,4.91
India,"Financial Year (Apr - Mar), 2008",STEEL,,7.23,1.56,1.06,0.05,0.08,0.54,0.75,0.09,0.1,0.31,0.42
India,"Financial Year (Apr - Mar), 2021",POWER,,100.52,26.58,12.06,,0.01,5.99,1.33,0.33,0.12,4.91,7.35
India,"Financial Year (Apr - Mar), 2006",NEW AND RENEWABLE ENERGY,,5.98,1.68,0.87,0.12,0.09,0.2,1.65,0.06,0.03,0.21,0.15
India,"Financial Year (Apr - Mar), 2002",FOOD PROCESSING INDUSTRIES,,160.42,81.84,21.04,3.1,2.89,9.19,30.6,2.82,1.11,2.83,3.85
India,"Financial Year (Apr - Mar), 2020",LAW AND JUSTICE,,145.66,25.05,19.62,,0.04,9.44,3.04,0.58,1.23,2.01,9.06
India,"Financial Year (Apr - Mar), 2016",AGRICULTURAL RESEARCH AND EDUCATION,,3.47,0.83,0.23,,0,0.17,0.21,0.02,0.01,0.09,0.12
India,"Financial Year (Apr - Mar), 2010",TRIBAL AFFAIRS,,5.88,2.47,0.84,,0.04,0.47,0.54,0.04,0.06,0.34,0.48
India,"Financial Year (Apr - Mar), 2015",LAND RESOURCES,,3.05,3.54,0.44,,0.01,0.79,0.24,0.02,0.03,0.3,0.56
India,"Financial Year (Apr - Mar), 2018",WATER RESOURCES AND RIVER DEVELOPMENT,,460.86,39.47,69.31,,0.02,36.47,39.01,3.94,1.15,4.21,30.24
India,"Financial Year (Apr - Mar), 2000",AGRICULTURAL RESEARCH AND EDUCATION,,39.38,15.93,5.35,1.12,0.88,0.86,6.21,0.62,0,0,1.41
India,"Financial Year (Apr - Mar), 2021",INFORMATION AND BROADCASTING,,206.54,52.89,26.65,,0.01,11.24,5.73,1.13,0.54,6.9,16.89
India,"Financial Year (Apr - Mar), 2005",REVENUE,,1086.42,214.27,155.93,19.73,19.63,56.07,46.38,15.37,1.99,18.3,20.44
India,"Financial Year (Apr - Mar), 2003",COMPANY AFFAIRS,,1923.31,1128.21,175.79,25.96,44.24,152.9,47.42,22.31,0,0,26.93
India,"Financial Year (Apr - Mar), 2012",WOMEN AND CHILD DEVELOPMENT,,10.95,7.67,1.95,,0.04,1.23,1.07,0.1,0.04,0.96,1.52
India,"Financial Year (Apr - Mar), 2020",FOOD AND PUBLIC DISTRIBUTION,,43.91,7.42,6.73,,0,3.09,1.7,0.22,0.24,2.46,3.64
India,"Financial Year (Apr - Mar), 2015",RURAL DEVELOPMENT,,10.61,12.41,1.61,,0.05,1.17,1.89,0.06,0.09,0.13,2.03
India,"Financial Year (Apr - Mar), 2021","PORTS , SHIPPING AND WATERWAYS",,100.87,25.72,7.81,,0,11.15,5.34,0.61,0.01,1.18,5.54
India,"Financial Year (Apr - Mar), 2008",FOOD AND PUBLIC DISTRIBUTION,,26.8,6.07,4.02,0.18,0.23,1.08,1.56,0.37,0.12,1.07,1.07
India,"Financial Year (Apr - Mar), 2002",HOME AFFAIRS,,274367.1,137125.59,8963.66,2966.36,134.94,27444.12,31575.33,13086.21,192.6,3715.81,1745.75
India,"Financial Year (Apr - Mar), 2001",FOOD AND PUBLIC DISTRIBUTION,,1464.41,651.46,228.69,43.24,32.61,87.04,130.05,38.93,2.5,39.99,45.6
India,"Financial Year (Apr - Mar), 2020",EXPENDITURE,,78.68,13.19,11.81,,0.03,5.67,1.43,0.33,0.35,1.62,6.97
India,"Financial Year (Apr - Mar), 2017",AGRICULTURE AND COOPERATION,,236.26,12.45,28.11,,0.09,13.09,18.61,1.87,0.78,8.5,18.12
India,"Financial Year (Apr - Mar), 2010","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,148.93,63.01,26.99,,0.2,57.07,21.7,2.13,0.46,2.46,18.06
India,"Financial Year (Apr - Mar), 2010","MICRO , SMALL AND MEDIUM ENTERPRISES",,44.58,18.65,8.08,,0.05,5.25,1.57,0.4,0.06,0.98,4.73
India,"Financial Year (Apr - Mar), 2014",DISINVESTMENT,,1.82,1.97,0.29,,0,0.32,2.81,0.01,0.01,0.25,0.26
India,"Financial Year (Apr - Mar), 2016",TELECOMMUNICATIONS,,220.99,67.01,17.26,,0.09,20.91,14.86,1.14,0.35,13.03,15.74
India,"Financial Year (Apr - Mar), 2018",UNION PUBLIC SERVICE COMMISSION,,77.02,6.69,10.93,,0.01,8.28,0.75,0.69,1.83,4.96,6.57
India,"Financial Year (Apr - Mar), 2009",CONSUMER AFFAIRS,,29.36,6.26,4.66,,0.06,2.1,2.11,0.25,0.02,0.25,2.34
India,"Financial Year (Apr - Mar), 2015",NEW AND RENEWABLE ENERGY,,6.46,7.62,1,,0,0.77,1.26,0.03,0.05,0,1.15
India,"Financial Year (Apr - Mar), 2015",DEVELOPMENT OF NE REGION,,7.08,8.28,0.93,,0.01,1.55,0.98,0.06,0.03,0.27,0.86
India,"Financial Year (Apr - Mar), 2003",FOOD AND PUBLIC DISTRIBUTION,,1129.71,652.14,176.57,30.17,18.63,127.66,125.65,29.62,6.54,46.56,34.22
India,"Financial Year (Apr - Mar), 2014",NEW AND RENEWABLE ENERGY,,7.66,7.9,1.25,,0.01,0.98,2.13,0.07,0.04,0,1.3
India,"Financial Year (Apr - Mar), 2008",COMMERCE,,144.99,28.97,18.74,2.03,0.6,10.26,18.9,1.5,0.64,2.14,5.58
India,"Financial Year (Apr - Mar), 2006",HIGHER EDUCATION,,18.34,5.07,2.56,0.27,0.18,1.63,2.01,0.26,0.03,0.55,0.16
India,"Financial Year (Apr - Mar), 2010","CHEMICALS , PETROCHEMICALS AND PHARMACEUTICALS",,8.25,3.47,1.17,,0.05,0.62,1.77,0.05,0.09,0.47,0.67
India,"Financial Year (Apr - Mar), 2015",YOUTH AFFAIRS AND SPORTS,,7.41,8.64,1.33,,0.01,0.67,1.86,0.06,0.05,0.12,1.31
India,"Financial Year (Apr - Mar), 2010","ANIMAL HUSBANDRY , DAIRYING AND FISHERIES",,56.08,23.7,8.28,,1.69,6.92,3.58,1.08,0.07,1.87,6.44
India,"Financial Year (Apr - Mar), 2001",BIO - TECHNOLOGY,,176.58,79.79,17.99,2.57,4.51,12.1,65.08,3.39,3.04,0,2.92
India,"Financial Year (Apr - Mar), 2000",LAW AND JUSTICE,,1748.7,706.88,280.05,49.56,30.51,97.83,101.45,43.41,24.04,28.18,45.32
India,"Financial Year (Apr - Mar), 2010",EXPENDITURE,,16.99,7.35,2.99,,0.11,3.09,1,0.18,0.11,2.77,2.15
India,"Financial Year (Apr - Mar), 2000",COAL,,274.16,108.49,31.81,6.37,6.34,15.72,29.45,7.79,1.49,2.83,5.81
India,"Financial Year (Apr - Mar), 2021",WOMEN AND CHILD DEVELOPMENT,,27.4,7.24,3.02,,0,1.72,1.36,0.14,0.05,2.42,1.63
India,"Financial Year (Apr - Mar), 2018",DEVELOPMENT OF NE REGION,,16.64,1.44,1.67,,0,1.86,1.12,0.11,0.05,1.29,0.93
India,"Financial Year (Apr - Mar), 2003",ATOMIC ENERGY,,29217.54,16508.95,2521.03,562.19,1533.54,4018.55,1596.76,913.07,34.67,1033.63,227.99
India,"Financial Year (Apr - Mar), 2002",AGRICULTURAL RESEARCH AND EDUCATION,,41.02,21.34,5.72,1.13,0.81,0.92,10.1,0.67,0.19,0.41,1.31
India,"Financial Year (Apr - Mar), 2014",TRIBAL AFFAIRS,,5.01,5.28,0.88,,0.03,1.05,0.66,0.04,0.05,0.06,0.79
India,"Financial Year (Apr - Mar), 2008",ATOMIC ENERGY,,785.83,200.6,78.48,3.35,20.9,153.23,27.66,13.44,0.56,36.94,23.9
India,"Financial Year (Apr - Mar), 2012",TEXTILES,,75.97,52.18,12.82,,0.1,10.6,6.09,1.21,0.1,3.84,7.76
India,"Financial Year (Apr - Mar), 2001",WOMEN AND CHILD DEVELOPMENT,,495.69,224.43,64.09,11.39,12.66,23.53,47.64,13.97,0.08,2.63,12.47
India,"Financial Year (Apr - Mar), 2008",CULTURE,,124.11,26.88,19.63,0.76,0.52,17.85,6.5,2.5,0.18,0.95,5.34
India,"Financial Year (Apr - Mar), 2010",INFORMATION TECHNOLOGY,,156.65,64.89,28.77,,0.52,26.84,9.16,1.08,2.63,10.99,16.19
India,"Financial Year (Apr - Mar), 2010",SOCIAL JUSTICE AND EMPOWERMENT,,13.56,5.54,2.27,,0.1,1.4,1.89,0.18,0.14,0.92,1.74
India,"Financial Year (Apr - Mar), 2002",URBAN DEVELOPMENT AND POVERTY ALLEVIATION,,20592.65,9906.86,1788.16,364.2,210.93,584.63,377.49,303.96,37.65,151.83,350.46
India,"Financial Year (Apr - Mar), 2021",LAW AND JUSTICE,,147.96,39.12,20.49,,0.05,9.58,4.75,0.59,1.25,3,9.96
India,"Financial Year (Apr - Mar), 2019",EARTH SCIENCES,,303.16,46.14,42.47,,0.23,14.6,13.6,1.7,0.18,18.55,19.54
India,"Financial Year (Apr - Mar), 2018",TEXTILES,,140.69,11.81,19.15,,0.02,1.96,10.45,1.43,0.1,4.17,8.8
India,"Financial Year (Apr - Mar), 2016",COMMERCE,,219.05,57.01,19.02,,0.23,11.67,12.02,2.29,0.24,6.36,17.91
India,"Financial Year (Apr - Mar), 2007",MINES,,143.07,54.01,21.03,3.5,0.49,6.41,12.52,2.33,0.24,0.34,4.07
India,"Financial Year (Apr - Mar), 2020",COAL,,17.87,3.03,2.72,,0,1.35,0.71,0.14,0.11,1.21,1.38
India,"Financial Year (Apr - Mar), 2002",SURFACE TRANSPORT,,2294.11,1187.04,283.43,47.8,18.67,256.5,258.2,86.27,5.25,37.84,49.76
India,"Financial Year (Apr - Mar), 2016",BIO - TECHNOLOGY,,16.78,4.36,0.76,,0.01,0.76,2.46,0.06,0.05,0.43,1.03
India,"Financial Year (Apr - Mar), 2012",ECONOMIC AFFAIRS,,26.23,18.11,4.39,,0.06,3.69,5.49,0.23,0.31,1.59,3.82
India,"Financial Year (Apr - Mar), 2012",PLANNING ( NITI AYOG ),,36.93,25.07,6.46,,0.01,3.65,12.45,0.22,0.18,0.02,3.85
India,"Financial Year (Apr - Mar), 2005",LABOUR,,98.2,20.42,10.26,1.63,0.52,7.19,3.82,0.82,0.13,0.97,1.28
India,"Financial Year (Apr - Mar), 2014",STATISTICS AND PROGRAMME IMPLEMENTATION,,102.59,105.88,18.33,,0.04,13.52,14.79,0.68,0.05,4.52,14.46
India,"Financial Year (Apr - Mar), 2014",PRIME MINISTER'S OFFICE,,9.52,10.46,1.05,,0.15,2.19,1.37,0.09,0.12,0.59,1.67
India,"Financial Year (Apr - Mar), 2001",CULTURE,,4727.41,2164.65,591.96,87.63,108.89,288.52,308.58,177.86,9.04,46.5,97.33
India,"Financial Year (Apr - Mar), 2008",TOURISM,,9.33,2.06,1.25,0.07,0.05,0.5,1.28,0.15,0.08,0.28,0.49
India,"Financial Year (Apr - Mar), 2016",MINES,,439.47,105.55,66.82,,0.06,26.49,31.74,4.18,0.08,2.18,30.03
India,"Financial Year (Apr - Mar), 2014",PUBLIC ENTERPRISES,,2.39,2.49,0.43,,0,0.24,0.41,0.02,0.01,0.13,0.29
India,"Financial Year (Apr - Mar), 2018",PUBLIC ENTERPRISES,,6.37,0.52,0.9,,0,0.61,0.16,0.02,0.03,0.33,0.44
India,"Financial Year (Apr - Mar), 2007",ANIMAL HUSBANDRY AND DAIRYING,,36.06,13.76,5.22,0.87,0.64,3.64,2.96,1.08,0.2,1.8,0.54
India,"Financial Year (Apr - Mar), 2008",SCHOOL EDUCATION AND LITERACY,,3.87,0.84,0.33,0.04,0.05,0.23,0.92,0.08,0.04,0.24,0.2
India,"Financial Year (Apr - Mar), 2021",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,,82.89,21.83,9.53,,0,7.07,3.42,0.67,1.04,2.22,6.94
India,"Financial Year (Apr - Mar), 2001",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,43119.6,19265.73,6415.08,1030.97,38.95,1629.07,5254.59,1135.48,247.79,822.84,953.36
India,"Financial Year (Apr - Mar), 2019",WATER RESOURCES AND RIVER DEVELOPMENT AND GANGA REJUVENATION,,455.22,70.32,72.39,,0,30.95,26.62,3.83,0.92,7.76,30.97
India,"Financial Year (Apr - Mar), 2007",EARTH SCIENCES,,77.14,30.41,10.5,1.68,0.05,2.44,2.44,0.96,0.15,2.27,1.25
India,"Financial Year (Apr - Mar), 2021",PRIME MINISTER'S OFFICE,,23.8,6.47,2.73,,0.01,2.17,0.15,0.13,0.07,0,1.92
India,"Financial Year (Apr - Mar), 2007",EXTERNAL AFFAIRS,Excluding missions abroad(*),43.62,16.91,7.81,1.08,0.26,2.87,26.91,0.63,0.03,1.94,0.83
India,"Financial Year (Apr - Mar), 2008",INFORMATION AND BROADCASTING,,95.37,19.94,10.64,0.58,0.49,5.41,5.97,1.87,0.41,2.03,4.59
India,"Financial Year (Apr - Mar), 2001",RURAL DEVELOPMENT,,543.05,239.27,83.73,17.28,19.65,12.13,106.28,11.96,6.61,14.52,19.24
India,"Financial Year (Apr - Mar), 2008",DEVELOPMENT OF NE REGION,,5.48,1.12,0.78,0.01,0.04,0.8,1.08,0.07,0.04,0.21,0.23
India,"Financial Year (Apr - Mar), 2000",FOOD AND PUBLIC DISTRIBUTION,,1550.07,624.97,218.36,39.8,29.74,90.43,145.96,36.02,5.5,10.94,41.16
India,"Financial Year (Apr - Mar), 2010",CULTURE,,129.36,48.16,25.28,,0.66,10.7,9.83,0.33,0.08,0.93,7.69
India,"Financial Year (Apr - Mar), 2020",TEXTILES,,125.12,20.72,16.43,,0.2,8.75,6.05,1.22,0.02,10.15,7.55
India,"Financial Year (Apr - Mar), 2016",DEFENCE ( CIVIL ),,15039.65,3759.91,891.74,,721.7,870.27,330,195.93,3.36,136.65,691.73
India,"Financial Year (Apr - Mar), 2007",PRESIDENT'S SECRETARIAT,,3.26,1.29,0.14,0.09,0.08,0.21,0,0.06,0.12,0.15,0.04
India,"Financial Year (Apr - Mar), 2018",EMPOWERMENT OF PERSONS WITH DISABILITIES,,6.91,0.6,1.1,,0,0.32,0.45,0.04,0.03,0.06,0.05
India,"Financial Year (Apr - Mar), 2018",SPACE,,1320.23,105.62,186.77,,0.83,767.78,71.48,0,0.82,39.17,103.16
India,"Financial Year (Apr - Mar), 2018",CIVIL AVIATION,,94.73,9.01,12.47,,0,7.23,11.85,0.58,0.31,2.67,7.53
India,"Financial Year (Apr - Mar), 2020",CABINET SECRETARIAT,,24.46,4.16,2.76,,0.05,1.63,0.11,0.12,0.01,1.09,1.79
India,"Financial Year (Apr - Mar), 2008",CIVIL AVIATION,,26.48,4.72,4.17,0.17,0.18,1.1,2.74,0.27,0.17,0.39,1.23
India,"Financial Year (Apr - Mar), 2006",COMMERCE,,90.47,25.15,15.11,2.24,1.49,4.72,16.12,1.85,0.34,1.99,1.61
India,"Financial Year (Apr - Mar), 2007",AGRICULTURAL RESEARCH AND EDUCATION,,0.71,0.29,0.1,0.01,0.01,0.03,0.12,0.01,0,0.03,0.02
India,"Financial Year (Apr - Mar), 2001",PRIME MINISTER'S OFFICE,,339.76,153.54,34.61,4.95,8.67,23.29,10.34,6.51,0,1.91,5.63
